model,region,color,fuel_type,transmission,engine_size_l,mileage_km,price_usd,sales_volume,sales_classification,age_car
5 Series,Asia,red,Petrol,Manual,3.5,151748.0,98740.0,8300,High,8
i8,North America,red,Hybrid,Automatic,1.6,121671.0,79219.0,3428,Low,11
5 Series,North America,blue,Petrol,Automatic,4.5,10991.0,113265.0,6994,Low,2
X3,Middle East,blue,Petrol,Automatic,1.7,27255.0,60971.0,4047,Low,0
7 Series,South America,black,Diesel,Manual,2.1,122131.0,49898.0,3080,Low,4
5 Series,Middle East,silver,Diesel,Manual,,171362.0,42926.0,1232,Low,7
i8,Europe,white,Diesel,Manual,1.8,196741.0,55064.0,7949,High,2
M5,Asia,black,Diesel,Automatic,1.6,121156.0,102778.0,632,Low,10
X3,South America,white,Diesel,Automatic,1.7,48073.0,116482.0,8944,High,8
i8,Europe,white,Electric,Manual,3.0,35700.0,96257.0,4411,Low,5
3 Series,Middle East,white,Electric,Manual,2.4,101595.0,117995.0,500,Low,12
i8,North America,blue,Hybrid,Manual,1.9,116863.0,74539.0,8252,High,8
7 Series,North America,silver,Diesel,Automatic,3.8,27403.0,100015.0,8111,High,4
5 Series,Africa,white,Electric,Manual,2.3,163444.0,119486.0,4668,Low,4
X1,Asia,black,Electric,Automatic,1.6,107918.0,34078.0,7291,High,7
M3,North America,silver,Hybrid,Manual,3.0,154050.0,94997.0,7765,High,10
X5,Asia,blue,Electric,Manual,2.6,110142.0,114844.0,5561,Low,11
M5,North America,red,Diesel,Automatic,2.6,86900.0,81934.0,9755,High,7
5 Series,North America,silver,Electric,Manual,3.1,57843.0,111326.0,4880,Low,7
X5,Africa,blue,Electric,Manual,3.8,142243.0,82677.0,7104,High,12
X3,North America,red,Diesel,Automatic,3.7,123910.0,88091.0,8635,High,9
X1,Africa,white,Petrol,Manual,4.8,13568.0,62941.0,1113,Low,10
M5,Europe,grey,Electric,Automatic,3.3,78042.0,49507.0,9383,High,13
7 Series,North America,black,Petrol,Automatic,3.2,58288.0,101791.0,7521,High,7
X5,South America,red,Diesel,Manual,2.2,184981.0,47527.0,6273,Low,3
X3,Middle East,white,Electric,Automatic,4.1,194398.0,85370.0,4645,Low,1
M3,Asia,red,Hybrid,Manual,2.0,41514.0,116902.0,8897,High,9
X1,North America,black,Hybrid,Automatic,,104742.0,107465.0,6481,Low,13
M5,Asia,red,Hybrid,Automatic,3.0,105162.0,32076.0,9469,High,3
M3,Asia,white,Electric,Automatic,3.8,90282.0,64049.0,1440,Low,10
i8,South America,black,Hybrid,Automatic,4.7,16020.0,102215.0,5006,Low,14
i8,South America,silver,Diesel,Manual,4.8,,64577.0,448,Low,3
M5,Asia,red,Diesel,Manual,2.1,97294.0,53277.0,4091,Low,5
i8,Asia,white,Hybrid,Automatic,2.4,194395.0,118788.0,3384,Low,9
X1,Middle East,grey,Hybrid,Manual,4.3,143013.0,116432.0,4926,Low,2
M5,South America,grey,Petrol,Automatic,3.3,88342.0,108240.0,4561,Low,3
X3,Middle East,white,Petrol,Manual,3.1,33370.0,52717.0,8046,High,6
i8,Middle East,grey,Petrol,Automatic,4.0,98514.0,,2278,Low,14
M3,Africa,black,Petrol,Manual,3.6,82668.0,86748.0,3929,Low,4
X5,Middle East,white,Hybrid,Automatic,4.9,132299.0,35401.0,7110,High,4
i3,Middle East,red,Petrol,Automatic,3.5,135958.0,69578.0,173,Low,0
M5,South America,white,Diesel,Manual,3.1,192690.0,37177.0,5946,Low,5
X5,Africa,red,Diesel,Manual,3.4,99697.0,60278.0,2913,Low,3
X5,Middle East,black,Petrol,Automatic,4.3,44279.0,96256.0,7627,High,3
X5,South America,black,Hybrid,Manual,3.6,111661.0,82675.0,2155,Low,0
i8,Europe,blue,Diesel,Automatic,3.8,78573.0,118317.0,7168,High,1
i3,North America,silver,Petrol,Automatic,4.9,94453.0,79039.0,8283,High,1
5 Series,Asia,blue,Electric,Manual,3.7,157789.0,86855.0,648,Low,0
X6,Africa,white,Hybrid,Automatic,2.8,84367.0,112542.0,7933,High,1
i3,Asia,white,Hybrid,Manual,3.9,193905.0,93508.0,8438,High,12
X3,Asia,silver,Hybrid,Automatic,3.8,57759.0,119692.0,6782,Low,3
M3,Africa,black,Hybrid,Manual,1.5,113832.0,49278.0,3153,Low,8
i8,Middle East,white,Petrol,Manual,3.1,42427.0,,5887,Low,11
i3,South America,red,Petrol,Manual,4.1,1428.0,46127.0,608,Low,6
i8,Middle East,red,Diesel,Automatic,3.2,110845.0,100747.0,3291,Low,12
M5,South America,red,Electric,Automatic,4.2,125379.0,96739.0,3754,Low,10
X5,Middle East,black,Petrol,Manual,3.1,107014.0,57537.0,4125,Low,12
X6,South America,silver,Hybrid,Automatic,4.9,180186.0,46263.0,9762,High,8
M3,Europe,red,Electric,Manual,2.5,74474.0,65464.0,9390,High,10
3 Series,Africa,black,Electric,Manual,1.8,117061.0,54762.0,3293,Low,6
M3,South America,grey,Electric,Automatic,3.0,102675.0,93915.0,9470,High,8
X6,Middle East,blue,Diesel,Automatic,3.4,27706.0,117237.0,5425,Low,13
i8,South America,black,Diesel,Manual,2.7,150761.0,34193.0,425,Low,11
X6,Asia,red,Electric,Manual,2.3,10027.0,89970.0,4935,Low,6
3 Series,North America,black,Hybrid,Automatic,3.9,87632.0,65089.0,660,Low,3
3 Series,Europe,black,Electric,Manual,2.8,,86402.0,4266,Low,1
M3,Asia,red,Diesel,Automatic,3.7,40915.0,44322.0,2191,Low,13
X3,Asia,silver,Electric,Automatic,4.2,88705.0,111352.0,1932,Low,5
7 Series,Middle East,blue,Petrol,Manual,4.2,94859.0,50620.0,6962,Low,6
3 Series,South America,silver,Gasoline,Manual,2.8,193021.0,44950.0,1703,Low,5
X6,Europe,grey,Diesel,Manual,3.5,178427.0,101523.0,8589,High,10
5 Series,Middle East,red,Hybrid,Automatic,3.1,139212.0,31815.0,2011,Low,13
7 Series,Asia,red,Hybrid,Manual,4.5,144832.0,118363.0,1564,Low,11
i3,South America,red,Electric,Manual,4.6,107985.0,43355.0,945,Low,3
X1,Europe,red,Petrol,Automatic,2.7,24141.0,84346.0,4289,Low,0
i3,North America,silver,Electric,Automatic,1.8,112862.0,66155.0,3748,Low,3
X1,Europe,black,Petrol,Manual,2.1,37975.0,101753.0,3476,Low,8
X3,North America,grey,Electric,Manual,2.8,75480.0,68274.0,5759,Low,3
X3,Middle East,grey,Petrol,Manual,3.5,52217.0,78144.0,9420,High,2
M3,North America,grey,Hybrid,Automatic,3.8,24291.0,87604.0,9797,High,7
M5,North America,black,Diesel,Manual,2.7,143885.0,90388.0,7944,High,0
7 Series,South America,silver,Petrol,Manual,3.8,93073.0,102551.0,6709,Low,12
7 Series,North America,grey,Diesel,Automatic,4.8,64153.0,117121.0,4823,Low,1
X6,Europe,red,Hybrid,Manual,3.8,128477.0,68106.0,1048,Low,14
i8,Middle East,grey,Petrol,Manual,2.1,119491.0,78729.0,9545,High,11
M5,North America,grey,Hybrid,Automatic,3.5,94375.0,71912.0,2167,Low,13
M5,South America,white,Petrol,Manual,3.4,190609.0,94286.0,3140,Low,7
X6,South America,white,Hybrid,Manual,4.5,94915.0,50923.0,7821,High,11
i8,Middle East,grey,Diesel,Automatic,,144698.0,37887.0,2085,Low,13
X3,Europe,red,Hybrid,Manual,3.0,12922.0,101473.0,8030,High,1
i8,Middle East,black,Electric,Manual,3.6,46176.0,96965.0,5409,Low,9
X5,Middle East,black,Hybrid,Automatic,3.3,121271.0,76799.0,4367,Low,9
X3,North America,silver,Hybrid,Automatic,4.0,189804.0,119927.0,1472,Low,5
i3,Africa,black,Diesel,Manual,1.6,192509.0,72385.0,455,Low,11
i3,Asia,silver,Electric,Manual,3.5,68161.0,63696.0,7218,High,9
X6,Asia,white,Electric,Manual,1.9,182027.0,35951.0,3389,Low,2
X5,Asia,blue,Hybrid,Automatic,2.6,120597.0,95900.0,8581,High,0
i8,Europe,red,Hybrid,Automatic,3.8,184765.0,44846.0,1431,Low,13
X5,Africa,blue,Electric,Manual,2.1,161177.0,95908.0,2775,Low,5
X1,Asia,silver,Diesel,Manual,2.6,84621.0,119897.0,4601,Low,3
3 Series,Middle East,red,Hybrid,Automatic,4.0,22280.0,55612.0,6698,Low,13
M5,Europe,black,Diesel,Manual,3.8,127689.0,72188.0,6056,Low,5
i3,Africa,grey,Hybrid,Manual,1.8,73990.0,89587.0,6301,Low,1
M5,Asia,red,Diesel,Automatic,3.5,17838.0,46231.0,8734,High,11
X1,Middle East,silver,Diesel,Manual,,172729.0,85801.0,8644,High,1
7 Series,North America,grey,Electric,Manual,2.4,80659.0,92213.0,5456,Low,0
7 Series,Africa,blue,Diesel,Automatic,3.1,132686.0,42013.0,8472,High,0
i8,Asia,grey,Petrol,Automatic,1.9,,50942.0,5940,Low,7
7 Series,Europe,red,Electric,Manual,5.0,50602.0,,2241,Low,1
7 Series,Africa,grey,Petrol,Automatic,2.1,49521.0,93993.0,8663,High,8
X3,Africa,blue,Electric,Automatic,4.2,169825.0,30158.0,8293,High,3
i8,Europe,black,Petrol,Automatic,4.4,,102279.0,8445,High,6
i3,North America,silver,Electric,Manual,5.0,190643.0,36081.0,190,Low,1
7 Series,Middle East,grey,Petrol,Automatic,3.0,112754.0,93431.0,7462,High,7
M3,Middle East,blue,Diesel,Manual,4.6,42711.0,40950.0,8339,High,10
i8,South America,grey,Diesel,Automatic,4.9,103105.0,66212.0,4055,Low,2
5 Series,Europe,white,Petrol,Automatic,2.1,146963.0,90224.0,3683,Low,13
3 Series,South America,grey,Hybrid,Automatic,3.2,144152.0,49557.0,1180,Low,0
X6,Europe,blue,Diesel,Automatic,1.7,105592.0,100663.0,9100,High,10
X5,South America,grey,Petrol,Manual,3.7,31779.0,83059.0,6844,Low,7
M5,Asia,blue,Petrol,Manual,3.5,154626.0,45389.0,8882,High,5
X6,North America,red,Diesel,Automatic,,162862.0,36520.0,2914,Low,6
3 Series,Africa,grey,Diesel,Manual,4.3,170208.0,40194.0,4548,Low,3
5 Series,Asia,blue,Electric,Manual,1.6,140059.0,82668.0,271,Low,3
X3,Middle East,grey,Electric,Automatic,4.3,63050.0,107348.0,2451,Low,3
7 Series,North America,red,Petrol,Automatic,1.6,123623.0,52099.0,4212,Low,2
X5,Middle East,black,Petrol,Manual,3.8,159629.0,117084.0,3275,Low,6
M3,Asia,blue,Diesel,Manual,1.8,189688.0,38811.0,7337,High,2
X6,North America,white,Petrol,Manual,2.4,120004.0,109733.0,8345,High,0
X3,Asia,black,Diesel,Manual,4.0,160878.0,,2162,Low,2
i8,North America,white,Electric,Automatic,2.5,75457.0,101282.0,8396,High,14
5 Series,Middle East,grey,Petrol,Automatic,3.3,45371.0,87345.0,1299,Low,6
X5,Europe,silver,Petrol,Automatic,4.7,182118.0,64095.0,3880,Low,8
X6,Europe,silver,Hybrid,Manual,1.7,10316.0,117764.0,5637,Low,6
X5,South America,red,Petrol,Automatic,4.3,169491.0,40275.0,8394,High,7
X6,Africa,silver,Petrol,Manual,1.7,176650.0,33796.0,5935,Low,14
7 Series,South America,blue,Petrol,Automatic,1.9,68969.0,111071.0,5908,Low,3
X6,South America,red,Hybrid,Manual,1.9,111235.0,39627.0,3147,Low,7
M5,Asia,blue,Diesel,Manual,5.0,51891.0,,1732,Low,7
i3,South America,white,Hybrid,Automatic,2.1,197241.0,106619.0,719,Low,0
i3,South America,grey,Hybrid,Automatic,,47754.0,,1460,Low,4
M5,Europe,black,Electric,Manual,5.0,,56202.0,3235,Low,12
M5,South America,white,Diesel,Manual,2.8,121393.0,108152.0,7139,High,14
i3,North America,silver,Hybrid,Manual,3.7,70038.0,102447.0,2694,Low,7
X5,North America,white,Petrol,Automatic,4.2,172752.0,85983.0,3403,Low,12
i3,Africa,blue,Petrol,Automatic,2.9,93629.0,99958.0,8216,High,12
3 Series,Asia,black,Petrol,Manual,2.1,,86660.0,8650,High,14
3 Series,North America,silver,Hybrid,Automatic,3.0,158046.0,78509.0,8070,High,4
X6,Middle East,black,Electric,Automatic,4.2,3374.0,84798.0,169,Low,10
5 Series,South America,red,Hybrid,Manual,4.2,132625.0,88464.0,6353,Low,5
